trial_type,sequence_label,block,item_id,condition,group,list_id,typicality,visual_availability,color,audio,left_object,right_object,left_color,right_color,left_image,right_image,left_role,right_role,attention_question,attention_key,correct_key
practice,practice,0,practice_01,practice,A,List 1,typical,full-color,yellow,cue_yellow.wav,banana,shirt,yellow,yellow,objects/full_color/yellow_banana.jpg,objects/full_color/yellow_shirt.jpg,color_associated,color_variable,Which option was the banana?,F,
critical,main-block-1,1,item_01,TYP_FULL,A,List 1,typical,full-color,yellow,cue_yellow.wav,banana,shirt,yellow,yellow,objects/full_color/yellow_banana.jpg,objects/full_color/yellow_shirt.jpg,color_associated,color_variable,,,
critical,main-block-1,1,item_02,ATYP_FULL,A,List 1,atypical,full-color,pink,cue_pink.wav,hat,tennis ball,pink,pink,objects/full_color/pink_hat.jpg,objects/full_color/pink_tennis_ball.jpg,color_variable,color_associated,,,
critical,main-block-1,1,item_03,TYP_GRAY,A,List 1,typical,grayscale,orange,cue_orange.wav,beanie,carrot,gray,gray,objects/grayscale/orange_beanie_gray.jpg,objects/grayscale/orange_carrot_gray.jpg,color_variable,color_associated,,,
critical,main-block-1,1,item_04,ATYP_GRAY,A,List 1,atypical,grayscale,yellow,cue_yellow.wav,ladybug,book,gray,gray,objects/grayscale/yellow_ladybug_gray.jpg,objects/grayscale/yellow_book_gray.jpg,color_associated,color_variable,Which one was a living object?,F,
filler,main-block-2,2,filler_01,FILLER,A,List 1,,full-color,blue,cue_blue.wav,cup,plate,blue,yellow,objects/full_color/blue_cup.jpg,objects/full_color/yellow_plate.jpg,filler_left,filler_right,,,F
critical,main-block-2,2,item_05,TYP_FULL,A,List 1,typical,full-color,orange,cue_orange.wav,basketball,car,orange,orange,objects/full_color/orange_basketball.jpg,objects/full_color/orange_car.jpg,color_associated,color_variable,,,
critical,main-block-2,2,item_06,ATYP_FULL,A,List 1,atypical,full-color,yellow,cue_yellow.wav,bowl,tomato,yellow,yellow,objects/full_color/yellow_bowl.jpg,objects/full_color/yellow_tomato.jpg,color_variable,color_associated,,,
critical,main-block-2,2,item_07,TYP_GRAY,A,List 1,typical,grayscale,green,cue_green.wav,bucket,frog,gray,gray,objects/grayscale/green_bucket_gray.jpg,objects/grayscale/green_frog_gray.jpg,color_variable,color_associated,Which one can be used to carry objects?,F,
critical,main-block-3,3,item_08,ATYP_GRAY,A,List 1,atypical,grayscale,purple,cue_purple.wav,corn,backpack,gray,gray,objects/grayscale/purple_corn_gray.jpg,objects/grayscale/purple_backpack_gray.jpg,color_associated,color_variable,,,
filler,main-block-3,3,filler_02,FILLER,A,List 1,,full-color,green,cue_green.wav,notebook,bag,orange,green,objects/full_color/orange_notebook.jpg,objects/full_color/green_bag.jpg,filler_left,filler_right,,,J
critical,main-block-3,3,item_09,TYP_FULL,A,List 1,typical,full-color,yellow,cue_yellow.wav,construction helmet,umbrella,yellow,yellow,objects/full_color/yellow_construction_helmet.jpg,objects/full_color/yellow_umbrella.jpg,color_associated,color_variable,,,
critical,main-block-3,3,item_10,ATYP_FULL,A,List 1,atypical,full-color,green,cue_green.wav,chair,eggplant,green,green,objects/full_color/green_chair.jpg,objects/full_color/green_eggplant.jpg,color_variable,color_associated,,,
